name	price	products
CrossFit Training Medicine Wall Ball by Rubberbanditz - 14 lb (6.4 kg)	95.5	1 - Wall Ball - 14 lb
Rubberbanditz Vertical Jumping / Sprinting Band - Medium - 20 - 35 lbs. (9 - 16 kg) Resistance	13.95	1 - Band - RBZ - #02 Medium
CrossFit Training Medicine Slam Ball by Rubberbanditz - 20 lb (9.1 kg)	54.99	1 - Slam Ball - 20 lb
Rubberbanditz Therapy/Rehabilitation Band Pairs - Robust - 40 - 80 lbs. (18 - 36 kg) Resistance	43.99	2 - Band - RBZ - #04 Robust
CrossFit Ultra Speed Cable Jump Rope by Rubberbanditz	19.95	1 - Jump Rope
Ultra Durable CrossFit Gymnastics Rings by Rubberbanditz	62.95	1 - Gym Rings - Plastic
CrossFit Training Medicine Wall Ball by Rubberbanditz - 20 lb (9.1 kg)	109.95	1 - Wall Ball - 20 lb
Rubberbanditz Vertical Jumping / Sprinting Band - Monster - 80 - 200 lbs. (36 - 91 kg) Resistance	119.95	1 - Band - RBZ - #08 Monster
Rubberbanditz Assisted Gymnastic Ring and Pull up / Crossfit Bands Kit - Medium, Heavy (#2, #3)	76.5	1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy, 1 - Gym Rings - Plastic
Rubberbanditz Therapy/Rehabilitation Band Pairs - Heavy - 30 - 50 lbs. (14 - 23 kg) Resistance	34.99	2 - Band - RBZ - #03 Heavy
Rubberlution Club T-Shirt (Womens XL)	0.0	1 - ZZ - Do Not Inventory - Tshirt
Rubberbanditz Removable Pull-up and Chin-up Bar	29.95	1 - Pull up Bar - Small
Rubberbanditz Mobile Travel Gym Resistance Exercise Band Package Kit Set - Deluxe	74.95	1 - Band - RBZ - #01 Light, 1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy, 1 - Band - RBZ - #04 Robust, 2 - Accessory - Hand Grip, 1 - Accessory - Door Strap, 2 - Accessory - Carabiner, Metal Big, 1 - Accessory - Travel Bag - Large, 1 - Accessory - DVD, 1 - Accessory - DVD Sleeve, 1 - Accessory - Manual
Rubberbanditz Crossfit Essentials Kit - Gymnastics Rings, Ultra Speed Cable Jump Rope	56.5	1 - Jump Rope, 1 - Gym Rings - Plastic
CrossFit and MMA Competition Battle Rope by Rubberbanditz - 1.5in x 30ft	119.95	"1 - Battle Rope - 1.5""x30'"
Rubberbanditz Crossfit Essentials Kit - Gymnastics Rings, Ab Mat Back Pad, Pull Up/Chin Up Bar	99.95	1 - Back Support Pad, 1 - Gym Rings - Plastic, 1 - Pull up Bar - Small
Functional Fitness Pull up / CrossFit 41in Loop Resistance Exercise Band Set - #2, #3	18.95	1 - Band - FF - #02 Red, 1 - Band - FF - #03 Black
Rubberbanditz Crossfit Essentials Kit - Gymnastics Rings, Ab Mat Back Pad	69.95	1 - Back Support Pad, 1 - Gym Rings - Plastic
Functional Fitness Pull up / CrossFit 41in Loop Resistance Exercise Band Set - #2, #4	23.95	1 - Band - FF - #02 Red, 1 - Band - FF - #04 Purple
Powerlifting Band - #3 - 30 - 50 lbs. (14 - 23 kg) Resistance	11.95	1 - Band - FF - #03 Black
Rubberbanditz Crossfit Essentials Kit - Gymnastics Rings, Pull Up/Chin Up Bar	73.5	1 - Gym Rings - Plastic, 1 - Pull up Bar - Small
Rubberbanditz Crossfit Essentials Kit - Gymnastics Rings, Ultra Speed Cable Jump Rope, Ab Mat Back Pad	83.5	1 - Gym Rings - Plastic, 1 - Jump Rope, 1 - Back Support Pad
Rubberbanditz Pull Up Bar and Band Set - Medium, Heavy Bands (#2, #3)	29.99	1 - Band - FF - #02 Red, 1 - Band - FF - #03 Black, 1 - Pull up Bar - Small
Rubberbanditz Therapy/Rehabilitation Band - Light - 5 - 15 lbs. (2 - 7 kg) Resistance	6.95	1 - Band - RBZ - #01 Light
Powerlifting Band - #5 - 50 - 120 lbs. (23 - 54 kg) Resistance	23.95	1 - Band - FF - #05 Green
Rubberbanditz Pull Up Bar and Band Set - Heavy, Robust, Power Bands (#3, #4, #5)	69.99	1 - Pull up Bar - Small, 1 - Band - FF - #03 Black, 1 - Band - FF - #04 Purple, 1 - Band - FF - #06 Blue
Rubberbanditz Crossfit Essentials Kit - Ultra Speed Cable Jump Rope, Ab Mat Back Pad	36.5	1 - Jump Rope, 1 - Back Support Pad
Pull up Band - #3 - 30 - 50 lbs. (14 - 23 kg) Resistance	11.95	1 - Band - FF - #03 Black
Pull up Band - #4 - 40 - 80 lbs. (18 - 36 kg) Resistance	15.95	1 - Band - FF - #04 Purple
Pull up Band - #5 - 50 - 120 lbs. (23 - 54 kg) Resistance	23.95	1 - Band - FF - #05 Green
Slam Ball - 30 lb (13.6 kg)	74.99	1 - Slam Ball - 30 lb
Rubberbanditz Therapy/Rehabilitation Band - Robust - 40 - 80 lbs. (18 - 36 kg) Resistance	25.5	1 - Band - RBZ - #04 Robust
Rubberbanditz Vertical Jumping / Sprinting Band - Light - 5 - 15 lbs. (2 - 7 kg) Resistance	6.95	1 - Band - RBZ - #01 Light
Rubberbanditz Pull Up Assistance / Crossfit Band Set - Heavy, Robust, Power Bands (#3 - #5)	69.99	1 - Band - RBZ - #03 Heavy, 1 - Band - RBZ - #04 Robust, 1 - Band - RBZ - #05 Power
Rubberbanditz Pull Up Assistance / Crossfit Band Set - Medium, Heavy, Robust Bands (#2, #3, #4)	49.99	1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy, 1 - Band - RBZ - #04 Robust
Wall Ball - 14 lb (6.4 kg)	95.5	1 - Wall Ball - 14 lb
Battle Rope - 1.5in x 50ft	159.95	"1 - Battle Rope - 1.5""x50'"
Rubberbanditz Pull Up Assistance / Crossfit Band Set - Medium, Robust Bands (#2 & #4)	33.99	1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #04 Robust
Rubberbanditz Assisted Gymnastic Ring and Pull up / Crossfit Bands Kit - Heavy, Robust, Power (#3, #4, #5)	129.95	1 - Band - RBZ - #03 Heavy, 1 - Band - RBZ - #04 Robust, 1 - Band - RBZ - #05 Power, 1 - Gym Rings - Plastic
Powerlifting Band Pair - #5 - 50 - 120 lbs. (23 - 54 kg) Resistance	43.95	2 - Band - FF - #05 Green
Powerlifting Band Pair - #3 - 30 - 50 lbs. (14 - 23 kg) Resistance	22.95	2 - Band - FF - #03 Black
Powerlifting Band Pair - #2 - 20 - 35 lbs. (9 - 16 kg) Resistance	15.95	2 - Band - FF - #02 Red
Powerlifting Band Pair - #4 - 40 - 80 lbs. (18 - 36 kg) Resistance	29.95	2 - Band - FF - #04 Purple
Functional Fitness Band #4	15.95	1 - Band - FF - #04 Purple
Functional Fitness Band #5	23.95	1 - Band - FF - #05 Green
Functional Fitness Band #3	11.95	1 - Band - FF - #03 Black
Functional Fitness Pull up Assistance / CrossFit 41in Loop Resistance Exercise Band Set - #2, #3, #4, #5, #6	88.95	1 - Band - FF - #02 Red, 1 - Band - FF - #03 Black, 1 - Band - FF - #04 Purple, 1 - Band - FF - #05 Green, 1 - Band - FF - #06 Blue
